AX4CustCode,D365CustCode,CustName
A052,ATPA,AKTEPE PLASTIK AMBALAJ TEKSTIL VE GIDA SAN TIC AS
,ATEK,ALTEK YAPI MARKET SAN. TIC. LTD. STI
A065,AAPE,ANEMAW ALEMU DELELE
A078,AWME,AW MEDICAL SUPPLY TRADING LIMITED
B048,BIMD,BARNA IMPORT MEDICA SA
B043,BLTR,BILTAR ENDUSTRIYEL URUNLER IC VE DIS TIC. LTD. STI
B045,BRLA,BORLA ENTERPRISES
B038,BPZR,BURSA PAZARI
C051,CITY,CITY PLAST CO.
DBLD,DBLD,"DOUBLE D CO., LTD"
,ERKM,ERK MEDIKAL SAGLIK HIZMETLERI
F016,FATR,FIRST ALMARCO TRADING FZE
F015,FDEX,FOODEX INTERNATIONAL TRADING CO.
,GOTO,"GOTO DENTAL CO., LTD"
G019,GSFT,"GRUPO SAFE FIT INTERNACIONAL, S DE RL DE CV"
J016,JZLI,"GUANGZHOU JIAZHANLI RUBBER PLASTIC CO.,LTD"
H050,HTCG,HTC GLOVES CO. LTD
IMSP,IMSP,IMPORT MEDICAL SERVICE
I021,INJX,INJEX INDUSTRIAS CIRURGICAS LTDA
,ITDM,INTERNATIONAL DENTAL MATERIALS EST. (COMBINED INTERNATIONAL DENTAL MATERIALS EST. & HIMEDONE)
J017,JEHU,JEHU INDUSTRIES  (COMBINED ALMIKA TRADING (PTY) LTD & JEHU INDUSTRIES)
JUHA,JUHA,JUHA INTERNATIONAL
K029,KCGS,"KIMBERLY CLARK GLOBAL SALES, LLC"
K027,KING,KINGS SHOE MANUFACTURING PTE LTD
LAGN,LAGN,LAGIN COMPANY
M086,MJAL,MAJAL CARE TRADING EST
MDRM,MDRM,MEDIRAMA
MDST,MDST,MEDISIST
MDSV,MDSV,MEDISOLUTIONS C.A
ASTM,ASTM,MEDTOVAROPT
,MTRA,MEDTRA GENERAL TRADING LLC
MPSL,MPSL,"OOO TK ""MP-SERVICE"""
M057,MLTK,MULTIKAN SAGLIK URUNLERI SANAYI VE DIS TICARET A.S.
NSBT,NSBT,NAWAF SALEH AL BATTI TRADING EST.
ONML,ONML,OLGUN MEDIKAL INSAAT VE TICARET LIMITED SIRKETI
P032,PXTB,PHARMATEX COMERCIAL DE PRODUTOS HOSPITALARES LTDA
PROM,PROM,PROMOSAC MEDIPROTEC
R014,REZO,"REZOSTAR CORPORATION (COMBINED JOSEFINO TRADING, ACASTILLO ENTERPRISES & REZOSTAR CORPORATION)"
S046,CRMB,SERTRADING BR LTDA
SHOK,SHOK,"SHOKUNIN CO.,LTD"
S043,SNFD,"SONIFORD MAELLER CORPORATION  (COMBINED TONGTAH INTERNATIONAL FREIGHT FORWARDING CORP , SONIFORD MAELLER CORPORATION & WING HANG MEDICAL SUPPLIES LTD)"
S075,SPDM,SUPERMED
T037,TONG,"TONGTAH INTERNATIONAL FREIGHT FORWARDING CORP (COMBINED TONGTAH INTERNATIONAL FREIGHT FORWARDING CORP , SONIFORD MAELLER CORPORATION & WING HANG MEDICAL SUPPLIES LTD)"
U012,ULMC,ULM COMPANY
U010,UNID,UNIDEM LTD SP. Z O.O. SK
W001,WGHG,"WING HANG MEDICAL SUPPLIES LTD  (COMBINED TONGTAH INTERNATIONAL FREIGHT FORWARDING CORP , SONIFORD MAELLER CORPORATION & WING HANG MEDICAL SUPPLIES LTD)"
ALPH,ALPH,ALPHA-HEALTH (MALAYSIA) SDN BHD
A060,AMSA,AM SALES & MARKETING SDN BHD
A063,ANCI,ANCILLARE ASIA-PACIFIC PTE LTD
A070,AUXA,AUXANO MEDICAL PTE.LTD.
B041,BIOF,BIOFLOW LIFESCIENCE SDN BHD
C056,,CARAL RESOURCES
C047,COMM,COMMERMEGA SDN BHD
DYEW,,DR YEW HSU ZENN
E031,EDAR,EDARAN MEDICALTECH (M) SDN BHD
E020,ENCI,ENCIA DENTAL SPECIALIST SDN BHD
GSCE,,GARDEN SCENTS
G037,GEMS,GEMSCOR ENTERPRISE
H044,HWFI,HONG WEE FOOD INDUSTRIES SDN BHD
K032,KATO,KATO MANUFACTURING (MALAYSIA) SDN BHD
M090,MGEN,MEDGENERAL MEDICAL SUPPLIES SDN BHD
M091,MEAP,MEDICAL APPARATUS SUPPLIES SDN BHD
M083,MDIC,MEDICO SDN BHD
O013,OBTH,OBTECH CORPORATION (M) SDN BHD
O007,ONEW,ONE WORLD GLOVES SDN BHD
PAUL,,PAUL DENTAL CENTRE
P059,PHMA,PHARMANIAGA LOGISTICS SDN BHD
P054,PPEM,PPE MANUFACTURING SDN BHD
PLAS,,PT.PLASMA UNITECH GLOBAL
SANT,,SAN-TRONIC MEDICAL D
T035,TAIM,TAI MA SEWING MACHINE PTE LTD
TOPS,,TOP SKILL CONSULTANCY SDN BHD
V016,VCCD,VCC DENTAL SUPPLY SDN BHD
V014,VERS,VERSADEN SDN BHD
